RTkey,longitude,latitude,x,y,altitude,speed_x_component,speed_y_component,course,speed,alt_speed,relative_bearing_to_exit_point,alt_diff_wrt_exit_point,h_diff_wrt_exit_point,timestamp,flight_phase
4803429,0.1815737880298333,41.18083147033711,924264.905019925,738018.5582160274,37000.0,-32.57808835978733,-234.39652063645863,187.91268218875555,236.649658203125,0.0,-6.451587713707198,4844.579577192115,109981.75,1547541270,cruising
4803446,0.32164929397882025,41.764256237190764,933084.192167077,803213.1725334027,39000.0,-33.72254571420799,-236.73398368897648,188.10719015934566,239.12379455566406,0.0,-3.7651122564165007,6844.579577192115,175492.15625,1547541270,cruising
4803459,0.38763880289099883,42.022071434760115,937254.261626391,832049.2950568623,37000.0,-31.828649986324553,-226.69677622609484,187.99219165164118,228.92027282714844,0.0,-3.3615224689710033,4844.579577192115,204577.71875,1547541270,cruising
4803463,0.40799813822109837,42.09365903823817,938572.7575331887,840065.3550850792,41000.0,-31.029939817881573,-226.19155316348662,187.81132558174215,228.31004333496094,0.0,-12.917875253631962,0.0,371675.625,1547541270,cruising
4803477,0.4898037063239232,42.35141655008895,943989.1145778402,868966.4148656089,37000.0,-19.476927665118886,-232.4721268253985,184.78915741737154,233.28660583496094,0.0,-6.407259497216529,4844.579577192115,242099.15625,1547541270,cruising
4803288,-0.6943970021428176,38.48973334094795,860912.0459689252,436893.31128538947,36000.0,-42.42933250941189,-229.14547861883958,190.49026453584563,233.04055146830413,0.0,-37.33173422924679,1000.0,99412.234375,1547541270,cruising
4803215,-1.5038817397186943,36.730825401416105,795156.8643383188,239743.1868328374,38000.0,-57.26624186310601,-220.35723665942209,194.56772793649313,227.67681964859818,0.0,179.99723235566785,5844.579577192115,404749.0625,1547541300,unknown
4803226,-1.4340802555183705,37.00691433991629,800617.8374873742,270535.72035458044,38000.0,-57.984299577004286,-218.4360369851192,194.86642679976515,226.00106471253656,0.0,193.21454483637913,1000.0,222007.140625,1547541300,cruising
4803245,-0.6937347576702184,37.427037531427544,864929.0196878929,319073.34463684517,36000.0,-31.699846879338477,-225.0388175945962,188.01815128581325,227.2605326856105,0.0,182.16036408576267,3844.579577192115,314041.5625,1547541300,descending
4803270,-1.1017550057008711,38.55943543896233,825193.8964531458,443509.40921684366,45000.0,227.42410117869824,105.92358268021317,65.02608315115106,250.88150024414062,0.0,8.788377861129561,7271.701654769975,164343.5625,1547541300,cruising
4803280,0.8724172558733692,39.43169968372937,992031.988628245,547007.2886922957,34000.0,218.40287102408254,-24.0956144221553,96.29577868252233,219.72804260253906,0.0,5.979778983681172,0.0,79810.6953125,1547541300,cruising
4803286,-0.7026087789304223,38.29270453438337,860928.354641193,415028.32701964106,38000.0,-38.747593412253394,-232.20550413232223,189.47352769919493,235.4161679761762,0.0,180.01708207026465,5825.765763561951,219428.59375,1547541300,descending
